date,version_tag,total_lines,lines_added,lines_deleted,majors,minors,patches
2021-10-06,2.0.0,29147,0,0,1,0,0
2021-11-22,2.0.1,27062,7551,9636,1,0,1
2021-12-15,2.0.2,27259,285,88,1,0,2
2021-12-17,2.0.3,27259,0,0,1,0,3
2022-02-01,2.1.0,30838,5090,1511,1,1,3
2022-05-30,2.2.0,34311,9053,5580,1,2,3
2022-07-25,2.2.1,34319,29,21,1,2,4
2022-10-04,2.2.2,34454,161,26,1,2,5
2022-10-27,2.2.3,34266,3053,3241,1,2,6
2022-11-17,2.2.4,34432,322,156,1,2,7
2022-11-17,2.2.5,34432,0,0,1,2,8
2022-12-06,2.3.0,34605,7732,7559,1,3,8
2022-12-22,2.3.1,35849,1928,684,1,3,9
2023-02-17,2.3.2,42961,8869,1757,1,3,10
2023-03-08,2.3.3,44373,1925,513,1,3,11
2023-04-04,2.3.4,44620,413,166,1,3,12
2023-05-09,2.3.5,44669,67,18,1,3,13
2023-06-20,2.3.6,44764,106,11,1,3,14
2023-06-29,2.3.7,44777,23,10,1,3,15
2023-09-11,2.3.8,44795,25,7,1,3,16
2023-11-28,3.0.0,31354,17766,31207,2,3,16
2023-12-06,3.0.1,31364,15,5,2,3,17
2024-01-08,2.3.9,31379,25,10,2,3,18
2024-03-26,2.3.10,31379,0,0,2,3,19
2024-04-12,3.1.1,33776,2733,336,2,4,19
