date,version_tag,total_lines,lines_added,lines_deleted,majors,minors,patches
2021-10-06,2.0.0,0,0,0,1,0,0
2021-12-08,2.0.1,88,165,77,1,0,1
2022-07-25,2.1.0,338,903,653,1,1,1
2022-10-26,2.1.1,463,1055,930,1,1,2
2023-01-10,2.1.2,508,187,142,1,1,3
2023-02-17,2.1.3,-1332,73,1913,1,1,4
2023-04-04,2.1.4,-1246,224,138,1,1,5
2023-04-25,2.2.0,-1477,239,470,1,2,5
2023-05-05,2.2.1,-1414,103,40,1,2,6
2023-05-22,2.3.0,-1241,219,46,1,3,6
2023-05-30,2.3.1,-1240,16,15,1,3,7
2023-11-13,2.3.2,-1277,433,470,1,3,8
2023-11-28,3.0.0,-214,1864,801,2,3,8
2023-12-06,3.0.1,-197,23,6,2,3,9
2023-12-22,3.1.0,-15,223,41,2,4,9
2024-03-29,2.3.3,47,110,48,2,4,10
2024-03-29,3.2.0,47,0,0,2,5,10
2024-04-12,3.2.1,189,401,259,2,5,11
