date,version_tag,total_lines,lines_added,lines_deleted,majors,minors,patches
2021-12-15,2.0.2,29147,0,0,1,0,0
2021-12-17,2.0.3,29207,73,13,1,0,1
2022-02-01,2.1.0,32786,4366,787,1,1,1
2022-05-30,2.2.0,36259,6700,3227,1,2,1
2022-07-25,2.2.1,36267,28,20,1,2,2
2022-10-04,2.2.2,36402,160,25,1,2,3
2022-10-27,2.2.3,36126,2505,2781,1,2,4
2022-11-17,2.2.4,36374,429,181,1,2,5
2022-11-17,2.2.5,36380,9,3,1,2,6
2022-12-06,2.3.0,37885,3669,2164,1,3,6
2022-12-22,2.3.1,37797,4524,4612,1,3,7
2023-02-17,2.3.2,44909,8486,1374,1,3,8
2023-03-08,2.3.3,46321,2024,612,1,3,9
2023-04-04,2.3.4,46568,413,166,1,3,10
2023-05-09,2.3.5,46617,66,17,1,3,11
2023-06-20,2.3.6,46693,86,10,1,3,12
2023-06-29,2.3.7,46725,42,10,1,3,13
2023-09-11,2.3.8,46743,24,6,1,3,14
2023-11-28,3.0.0,33301,11095,24537,2,3,14
2023-12-06,3.0.1,33313,27,15,2,3,15
2024-04-12,3.1.1,35755,2748,336,2,4,17
2024-06-25,3.1.2,35827,407,409,2,4,19
2024-09-19,3.1.3,35834,9,2,2,4,20
2024-09-25,3.1.4,35837,7,4,2,4,21
2024-10-25,3.1.5,35857,12,2,2,4,23
