date,version_tag,total_lines,lines_added,lines_deleted,majors,minors,patches
2021-10-06,2.0.0,2887,0,0,1,0,0
2022-07-25,2.1.0,3028,147,6,1,1,0
2023-04-05,2.1.1,2985,63,106,1,1,1
2023-04-24,2.1.2,3004,45,26,1,1,2
2024-03-29,2.2.0,3172,256,88,1,2,2
2024-04-12,2.2.1,3239,194,127,1,2,3
2024-09-16,2.2.2,2905,720,1054,1,2,4
2024-09-18,2.2.3,2920,19,4,1,2,5
2024-09-24,2.3.0,2976,93,37,1,3,5
2024-10-01,2.3.1,2991,21,6,1,3,6
2024-10-08,2.4.0,3032,57,16,1,4,6
2025-01-22,2.4.1,3138,143,37,1,4,7
2025-01-27,2.4.2,3146,14,6,1,4,8
2025-04-22,2.5.0,3430,332,48,1,5,8
2025-05-07,2.5.1,3429,9,10,1,5,9
2025-06-27,2.5.2,3363,286,352,1,5,10
2025-10-22,2.5.3,3370,10,3,1,5,11
