date,version_tag,total_lines,lines_added,lines_deleted,majors,minors,patches
2021-10-06,2.0.0,16921,0,0,1,0,0
2021-12-08,2.0.1,17028,114,7,1,0,1
2022-07-25,2.1.0,17276,641,393,1,1,1
2022-10-26,2.1.1,17401,798,673,1,1,2
2023-01-10,2.1.2,17446,187,142,1,1,3
2023-02-17,2.1.3,15607,71,1910,1,1,4
2023-04-04,2.1.4,15693,202,116,1,1,5
2023-04-25,2.2.0,15463,237,467,1,2,5
2023-05-05,2.2.1,15526,100,37,1,2,6
2023-05-22,2.3.0,15690,197,33,1,3,6
2023-05-30,2.3.1,15700,34,24,1,3,7
2023-11-13,2.3.2,15663,210,247,1,3,8
2023-11-28,3.0.0,16726,1851,788,2,3,8
2023-12-06,3.0.1,16743,29,12,2,3,9
2023-12-22,3.1.0,16925,222,40,2,4,9
2024-03-29,3.2.0,17049,109,47,2,5,10
2024-04-12,3.2.1,17191,394,252,2,5,11
2024-06-04,3.2.2,17138,338,461,2,5,13
2024-06-24,3.2.3,17209,41,3,2,5,15
2024-09-06,3.3.0,17230,65,44,2,6,15
2024-09-19,3.3.1,17233,16,13,2,6,16
2024-09-25,3.3.2,17304,105,34,2,6,17
2024-10-01,3.3.3,17308,9,5,2,6,18
2024-12-11,3.3.4,17362,77,23,2,6,20
2025-03-21,3.3.5,17476,252,138,2,6,21
2025-10-23,3.3.6,17432,324,368,2,6,22
2025-11-13,3.3.7,17656,268,44,2,6,23
